label,sms,processed_sms
ham,What type of stuff do you sing?,type stuff sing
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae lyf nt yet ovr chikkuali vargu lyfu meow meowd
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,yes meet town cos go gep home could text bus stop dont worry well finished march ish
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,rajipls favour pls convey birthday wishes nimya pls today birthday
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,guaranteed cash prize claim yr prize call customer service representative ampm cost p
ham,Ü comin to fetch us oredi...,comin fetch us oredi
ham,Now project pa. After that only i can come.,project pa come
ham,Just sent it. So what type of food do you like?,sent type food like
ham,Yes princess! I want to catch you with my big strong hands...,yes princess want catch big strong hands
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",hmm dunno leh mayb bag goigng dat small jus anything except perfume smth dat keep
ham,Ok. I only ask abt e movie. U wan ktv oso?,ok ask abt e movie u wan ktv oso
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,dont know come ask questions like dont mistake
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,sorry u unsubscribe yet mob offer package min term weeks pls resubmit request expiry reply themob help info
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",urgh coach hot smells chip fat thanks especially duvet predictive text word
ham,I called but no one pick up e phone. I ask both of them already they said ok.,called one pick e phone ask already said ok
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,congrats thats great wanted tell tell score cos might make relax motivating thanks sharing
ham,You still at the game?,still game
ham,What is this 'hex' place you talk of? Explain!,hex place talk explain
ham,Can ü send me a copy of da report?,send copy da report
ham,Sday only joined.so training we started today:),sday joinedso training started today
ham,"""The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!"", Gud night....",world suffers lot violence bad people silence good people gud night
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give us connection today ltdecimalgt refund bill
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",hmmm mayb try e shoppin area one forgot e name hotel
ham,My birthday is on feb  &lt;#&gt;  da. .,birthday feb ltgt da
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,love set soul fire spark flame big rawring flame xoxo
ham,What's a feathery bowa? Is that something guys have that I don't know about?,whats feathery bowa something guys dont know
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin tsunamis occur rajnikant stopped swimming indian oceand
ham,I didn't get the second half of that message,didnt get second half message
ham,Hey tmr maybe can meet you at yck,hey tmr maybe meet yck
